Date,Beta60M,AccrualRatioCF,AnnVol12M,AnnVol1M,AstAdjChg1YFCF,AstAdjChg1YOCF,BP,CapAcqRatio,CashCycle,CFROIC,Chg1YAstTo,Chg1YEPS,DivP,EBITDAEV,EP,EPSNumRevFY1C,EstDiffC,FCFP,HL1M,LogMktCap,LogTTMSales,LTDE,LTGC,NetProfitMargin,NIStab,PM12M1M,PM1M,PM5D,PM9M,ROE,SEV,ShareChg,SUEC,SusGrwRate,WCAccruals,x90DCV,MOM,Beta
19870131,0.056337377,,0.06099512,0.039055763,0.014636114,,-0.026220923,0.024939278,-0.054107349,,0.00701871,0.004462016,-0.049241073,-0.014603441,-0.036411036,,,0.0189874,0.009495985,0.012413036,0.029546418,0.017714938,,-0.023503177,,-0.012784658,0.015871796,0.006498398,0.00284498,-0.010054752,-0.024397278,-0.005960688,,0.00427407,0.010756998,0.028587541,-0.035569076,0.072783549
19870228,0.042463982,,0.049926738,0.01516347,0.011711915,,-0.015424682,0.025916822,-0.034943016,,0.014440353,0.013025009,-0.081264114,-0.049458085,-0.055059711,,,0.041034353,0.008235172,0.030389218,0.052885759,0.024981738,,-0.017814553,,-0.014272455,0.01604047,0.00045745,-0.024763654,0.003152968,0.017339278,-0.006109315,,0.012658396,0.002691008,0.010801963,-0.01660638,0.045609272
19870331,0.002173212,,0.043896122,0.023588149,0.037977607,,0.020609019,0.012059305,0.024594735,,-0.020511705,-0.005147957,0.010742884,0.017216652,-0.051811844,,,-0.034440312,0.038928796,-0.004659918,-0.012171241,-0.03074543,,-0.055027631,,0.022623628,0.02702154,0.018279535,0.014657481,-0.026005371,0.019452491,0.012902388,,-0.038062672,0.037412655,0.028139454,-0.004870859,-0.007573543
19870430,0.028176367,,0.022186818,0.036321541,0.026684336,,0.017373638,0.034100817,-0.027119636,,0.00390367,-0.014855919,-0.031690241,-0.015586315,-0.06349943,,,-0.02660176,-0.020814201,0.011808713,0.013965198,-4.68E-05,,-0.043063709,,0.015693173,0.002644858,-0.016521563,0.039521976,-0.055545405,0.009718068,0.024997959,,-0.044333844,0.038662118,0.04635919,0.015366087,0.017847293
19870531,-0.007835795,,0.013500338,0.010374281,0.004581287,,0.01415849,0.033546085,0.001235185,,-0.018008454,-0.029003048,-0.00683336,-0.011462698,-0.040562277,,,-0.061155444,0.016565324,0.01669369,0.007742764,-0.019318575,,-0.038947322,,-0.040910357,-0.010634416,0.005966635,-0.024680607,-0.040531244,0.018620749,0.018491266,,-0.030699358,0.026646723,-0.005922791,-0.030780804,-0.007956478
19870630,-0.014900648,,-0.035481245,-0.032075947,-0.003973854,,0.011870919,-0.041510362,0.013256494,,-0.017291961,0.024420661,0.035771567,0.013889421,0.020427459,,,0.005321049,0.020936714,-0.016998822,-0.032750519,-0.001931947,,0.009592947,,0.002619551,0.021982577,0.016832336,-0.020323382,0.031428196,0.007640975,0.019655324,,0.023425641,-0.027317621,-0.036299014,0.00353788,-0.017063065
19870731,0.0278422,,0.051573745,0.030523795,0.02555668,,0.012224807,0.001088772,-0.046913611,,0.010928797,-0.031531186,-0.044991098,-0.013280055,-0.061079015,,,-0.004358098,0.010807114,0.045061315,0.030742466,-0.004247766,,-0.05468956,,0.02917582,0.006843274,-0.017463595,0.046454597,-0.045441051,0.021482186,0.01139793,,-0.028698876,0.030053354,0.018907067,0.015968054,0.05169544
19870831,0.013587093,,-0.017507655,-0.036778124,-0.015361488,,0.007941584,0.000964946,-0.004896647,,0.014390549,0.039125616,-0.01140065,0.017134191,0.035433007,,,0.023107787,0.048244298,-0.021728307,-0.006865937,0.032755815,,0.040526162,,-0.039361105,0.078788287,0.044194812,-0.042517329,0.03342724,-0.002190176,-0.012496889,,0.038775373,0.000248816,-0.043006697,-0.014862957,0.010851385
19870930,0.007314229,,0.012283406,0.032116987,0.028135463,,0.008567174,0.01538051,-0.019949305,,0.050737165,-0.004907635,-0.021206066,0.019093796,-0.033499907,,,-0.014299034,0.018409693,0.014981407,-0.00173958,-0.007406634,,-0.020643131,,0.04755788,-0.002588717,0.032486805,0.044684257,-0.043563651,0.015282426,0.001301994,,-0.034967482,0.025620276,0.035516255,0.025628446,0.020526088
19871031,-0.067997834,,-0.137718233,-0.105662174,-0.001373713,,0.007520722,-0.079088352,0.067784279,,-0.00415681,0.02061288,0.128529651,0.049450664,0.114317952,,,0.021902713,0.023866647,-0.127376252,-0.084870777,0.0096142,,0.127323432,,-0.073285329,0.004651537,0.021753779,-0.076193354,0.060603813,-0.068559385,0.038333375,,0.036415338,0.009218574,-0.116376248,-0.067875109,-0.112417132
19871130,-0.000684125,0.060539107,-0.011701628,-0.005612528,0.031103785,,0.023414841,-0.020425466,-0.025228863,-0.060539107,0.004680805,0.011955416,-0.000660682,-0.0112268,-0.001190468,,,0.002380988,0.038624723,0.052370843,0.037679996,-0.019626578,,0.00216655,,0.013507311,0.023046769,0.057415157,0.011080739,-0.029111102,0.004583872,-0.021957271,,-0.032774971,-0.011303554,-0.006297583,0.031392337,-0.018315044
19871231,0.080338631,-0.227738664,0.058685155,0.092291951,-0.033718652,,-0.029410988,0.023743619,-0.042662389,0.227738664,0.026468094,0.027461161,-0.058875035,0.052715906,0.013861361,,,0.00481141,0.003591485,0.029758285,0.049041976,0.039816704,,0.011893811,,0.036029222,0.02769131,-0.002789119,-0.011645169,0.040869146,0.027314892,-0.020724192,,0.043781459,-0.014369446,0.059388588,0.011614315,0.104841451
19880131,-0.042271929,-0.082513852,-0.033513378,-0.039343272,0.018517905,,0.061577432,-0.037004925,0.038963639,0.075774248,-0.035729724,-0.032792481,0.089690879,0.062509005,0.032491568,,,-0.056672472,0.079942436,0.019061864,-0.030896841,-0.019218884,,-0.011781194,,-0.104987856,0.093143121,0.043105164,-0.105869831,-0.016538723,0.029998684,0.044074148,,-0.037493368,0.008038518,0.003967601,-0.045556283,-0.068567522
19880229,0.074226384,-0.044135689,0.072638089,0.048072584,-0.015048022,,0.017541233,0.029435003,-0.031534063,0.052099947,0.040376034,0.033094381,-0.044696965,0.034660984,0.006863485,,,-0.032363704,0.078906164,0.061388603,0.041361226,0.010632943,,-0.049652363,,-0.011876296,0.062629954,0.038293851,-0.068250505,-0.008720277,0.057411683,0.026015499,,0.016990752,-0.002836253,0.103206026,-0.005031674,0.08504775
19880331,0.01280903,0.006230979,0.018220648,0.051227997,0.017333404,,0.011584165,0.004143188,-0.013664739,0.021556312,0.046935618,0.007407601,-0.041864033,0.037646047,-0.019239363,,,-0.035471898,0.00083091,0.068376844,0.014433588,-0.004296466,,-0.048697241,,-0.00212466,-0.0420311,-0.009040726,0.018914706,-0.032756195,0.052842673,0.026193401,,-0.022452306,0.014073485,0.046476973,0.04510863,0.01507888
19880430,-0.004790161,0.035707324,0.017922423,0.001808586,-0.001558616,,0.00079104,0.007681259,0.018685471,-0.027385924,0.013854508,0.020408591,-0.010586759,0.008003841,0.00216067,,,0.009990198,-2.31E-06,-0.006997147,-0.022653491,-0.00383724,,-0.018400486,-0.051490015,0.031871006,-0.001876736,-0.002836857,0.020705045,-0.016801703,0.011707229,0.006797585,,-0.005418289,0.005677803,0.00842931,0.008130533,-0.004246846
19880531,-0.012493388,0.007538572,-0.010043213,-0.021147618,-0.008242408,,0.026854422,-0.009852489,0.002021172,0.016666339,-0.011636567,-0.031104819,0.030731062,-0.01171301,0.015200982,,,-0.000114679,-0.001114666,-0.006073158,-0.002019059,-0.019827379,,0.001608619,0.024268018,-0.01855797,0.007831566,0.01292585,-0.015796942,-0.017909593,-0.015357031,-0.019612104,,-0.016305745,0.023021371,-0.015354033,-0.012877473,-0.017725457
19880630,0.059133508,0.00600496,0.045689615,0.031943481,-0.006764554,,0.021525201,0.045973812,-0.002815734,-0.020825038,-0.007317305,-0.005168416,-0.030331395,0.019775122,0.01541925,,,-0.010770112,0.028252569,0.032937885,0.011942627,-0.00121709,,-0.010279132,0.003785974,-0.029949886,0.012962868,0.002629412,-0.045777402,-0.004354718,0.003797173,-0.014335076,,0.018594857,0.000366205,0.038721414,-0.027825989,0.055988043
19880731,-0.029657184,0.032840669,-0.029965594,-0.028775922,-0.011659082,,0.014017759,-0.028151904,0.020669359,0.010182477,0.001085022,-0.025281445,0.037500689,0.005100658,0.013969447,,,-0.029719949,0.027736172,-0.009506376,-0.01840311,-0.023017686,,-0.010053063,0.056635445,-0.003777887,0.044918698,0.024973142,-0.000547877,0.005891968,0.003767338,0.010305256,,-0.003575935,0.022893837,-0.018790546,0.001367849,-0.030172204
19880831,-0.037017498,-0.022573128,-0.042064199,-0.036174505,0.002149133,,0.018462513,-0.038596805,0.029817166,0.027691573,-0.023345652,-0.017978612,0.047419396,0.002258936,0.012540006,,,-0.007131658,-0.015760792,-0.012718961,-0.028848653,-0.020474184,,-0.003624375,-5.37E-05,-0.007097101,-0.02428441,0.002391759,-0.023929222,-0.010301044,0.002032842,0.011135455,,-0.020420878,0.020576197,-0.025320765,-0.002312323,-0.032837473
19880930,-0.018822513,-0.027071278,-0.022009703,-0.018175717,0.020668925,,-0.011975568,-0.013769142,0.02380624,-0.009513103,-0.046239147,-0.004607925,-0.009145521,0.0157209,0.023829669,,,0.000757304,0.019643654,-0.004963919,-0.024550817,0.000228571,,0.007072037,0.018396226,0.013780465,0.007066803,-4.22E-05,0.005249682,0.028239437,0.021830811,0.027104618,,0.036323208,0.013330536,-0.006694137,0.008722656,-0.008547882
19881031,-0.020714329,-0.020583261,-0.032486867,-0.025390178,0.005227954,,-0.002412261,-0.038136993,0.004288205,0.00811698,0.005086008,0.005937883,0.032580682,0.024943043,0.017081036,,,-0.001059189,0.001610573,-0.033379778,-0.030470201,-0.008623728,,0.003345271,-0.16425299,0.018438146,0.002283924,0.006780216,0.007102193,0.014354463,-0.000858206,0.024742057,,-0.00105286,0.017936292,-0.044367493,0.004159516,-0.020465215
19881130,-0.020971214,0.02041375,-0.009113963,-0.007854008,-0.021492672,-0.051385747,0.003507248,0.008567516,-0.008937129,0.003127467,0.005511096,0.005938558,0.004283842,0.004364294,-0.003879689,,,-0.013038734,-0.000757658,-0.019491729,-0.01059969,0.005488537,,0.007308869,0.085196058,0.006442226,0.005792428,-0.002446457,0.009088922,-0.0096313,-0.012667488,-0.00767455,,-0.016079249,0.004234686,-0.004358175,0.004512946,-0.017042452
19881231,0.048594793,0.029623504,0.048423738,0.030416649,0.003037037,0.084530173,-0.003279832,0.026991524,-0.020970074,-0.020791419,0.023410897,0.007839724,-0.047413945,0.012726852,-0.004368546,,,0.002720395,0.012430128,0.039980249,0.027868079,0.005318886,,-0.01588453,0.032556759,-0.005553879,0.017292443,0.014032943,-0.023779994,-0.0038615,0.016189521,-0.017593677,,0.006820282,0.012533591,0.035430942,-0.002715968,0.044984645
19890131,0.005107852,0.019697789,0.02806151,0.002231134,-0.002069385,-0.02081448,0.010199699,0.006931242,0.018848307,0.037772985,0.020991617,-0.000164204,-0.008362656,0.002202024,0.008158029,,,-0.005257769,0.023989209,0.006269721,-0.010432375,-0.018054881,,-0.007486176,-0.019812993,0.004827006,0.029112684,0.030600405,0.001504531,-0.000399836,-0.004033395,0.012506052,,0.001346179,0.025849527,0.005652093,-0.004642022,0.005894452
19890228,0.006300341,-0.018413711,0.023504003,0.019552249,0.008042386,-0.089121177,0.018651977,0.016429049,0.015218516,-0.010398417,-0.011719075,-0.017682296,0.003051055,-0.007607742,-0.017798542,,,-0.021568892,0.031587851,0.040885559,0.02624093,-0.016790988,,-0.02510344,-0.08287796,-0.008658179,0.002941801,0.03366142,-0.013957235,-0.026954438,0.010330374,0.003499436,,-0.023896303,-0.001970465,0.019371408,0.01302529,0.009069624
19890331,-0.031924052,-0.019034147,-0.023447888,-0.012692157,0.008466092,-0.004495613,-0.005606724,-0.009893733,0.022318962,0.005086658,0.005253178,0.007119503,0.020336057,0.006042128,0.002298238,,,0.014487745,-0.00992808,-0.011420453,-0.019416717,-0.021917245,,-0.002372556,0.026632803,0.050382773,-0.004944392,-0.001306186,0.046176882,0.02419825,-0.005861887,-0.00037696,,0.016509488,-0.010231715,-0.018560431,0.022975277,-0.02588828
