Date,ret_sp500,rf
197001,-0.075398,0.006
197002,0.059521,0.0062
197003,0.002806,0.0057
197004,-0.088831,0.005
197005,-0.054689,0.0053
197006,-0.049032,0.0058
197007,0.075523,0.0052
197008,0.049778,0.0053
197009,0.034702,0.0054
197010,-0.009032,0.0046
197011,0.054387,0.0046
197012,0.058684,0.0042
197101,0.042828,0.0038
197102,0.013317,0.0033
197103,0.039068,0.003
197104,0.036965,0.0028
197105,-0.03715,0.0029
197106,0.002439,0.0037
197107,-0.040827,0.004
197108,0.042036,0.0047
197109,-0.005038,0.0037
197110,-0.040129,0.0037
197111,0.002898,0.0037
197112,0.08788,0.0037
197201,0.019088,0.0029
197202,0.030221,0.0025
197203,0.007315,0.0027
197204,0.005476,0.0029
197205,0.022019,0.003
197206,-0.020156,0.0029
197207,0.003245,0.0031
197208,0.039425,0.0029
197209,-0.003277,0.0034
197210,0.010878,0.004
197211,0.050297,0.0037
197212,0.013663,0.0037
197301,-0.016752,0.0044
197302,-0.033818,0.0041
197303,-0.001093,0.0046
197304,-0.040064,0.0052
197305,-0.01395,0.0051
197306,-0.005178,0.0051
197307,0.039128,0.0064
197308,-0.031544,0.007
197309,0.042219,0.0068
197310,0.000312,0.0065
197311,-0.10722,0.0056
197312,0.017971,0.0064
197401,-0.00812,0.0063
197402,0.001992,0.0058
197403,-0.021818,0.0056
197404,-0.037649,0.0075
197405,-0.026896,0.0075
197406,-0.012816,0.006
197407,-0.076698,0.007
197408,-0.082177,0.006
197409,-0.117511,0.0081
197410,0.168113,0.0051
197411,-0.045688,0.0054
197412,-0.018021,0.007
197501,0.12361,0.0058
197502,0.06746,0.0043
197503,0.024014,0.0041
197504,0.049424,0.0044
197505,0.051193,0.0044
197506,0.04622,0.0041
197507,-0.065504,0.0048
197508,-0.015663,0.0048
197509,-0.03225,0.0053
197510,0.064855,0.0056
197511,0.030089,0.0041
197512,-0.010485,0.0048
197601,0.120143,0.0047
197602,-0.005756,0.0034
197603,0.03264,0.004
197604,-0.00961,0.0042
197605,-0.008116,0.0037
197606,0.043959,0.0043
197607,-0.007202,0.0047
197608,0.001599,0.0042
197609,0.024421,0.0044
197610,-0.020211,0.0041
197611,-0.001041,0.004
197612,0.053775,0.004
197701,-0.049654,0.0036
197702,-0.015638,0.0035
197703,-0.012502,0.0038
197704,0.000641,0.0038
197705,-0.015064,0.0037
197706,0.047776,0.004
197707,-0.015453,0.0042
197708,-0.01231,0.0044
197709,-0.000825,0.0043
197710,-0.041984,0.0049
197711,0.036752,0.005
197712,0.00557,0.0049
197801,-0.060643,0.0049
197802,-0.01626,0.0046
197803,0.026925,0.0053
197804,0.088964,0.0054
197805,0.013719,0.0051
197806,-0.016578,0.0054
197807,0.056974,0.0056
197808,0.033641,0.0056
197809,-0.005163,0.0062
197810,-0.08957,0.0068
197811,0.026771,0.007
197812,0.016627,0.0078
197901,0.042697,0.0077
197902,-0.028649,0.0073
197903,0.057361,0.0081
197904,0.004183,0.008
197905,-0.016818,0.0082
197906,0.040324,0.0081
197907,0.012051,0.0077
197908,0.061865,0.0077
197909,0.001416,0.0083
197910,-0.06556,0.0087
197911,0.052777,0.0099
197912,0.01834,0.0095
198001,0.061308,0.008
198002,0.002611,0.0089
198003,-0.097518,0.0121
198004,0.042394,0.0126
198005,0.05556,0.0081
198006,0.029722,0.0061
198007,0.0682,0.0053
